Country,City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
United Kingdom,London,5.2,5.3,7.6,9.9,13.3,16.5,18.7,18.5,15.7,12,8,5.5,11.3
Finland,Helsinki,-3.9,-4.7,-1.3,3.9,10.2,14.6,17.8,16.3,11.5,6.6,1.6,-2,5.9
Italy,Rome,7.5,8.2,10.2,12.6,17.2,21.1,24.1,24.5,20.8,16.4,11.4,8.4,15.2
Germany,Berlin,0.6,2.3,5.1,10.2,14.8,17.9,20.3,19.7,15.3,10.5,6,1.3,10.3
Egypt,Cairo,13.6,14.9,16.9,21.2,24.5,27.3,27.6,27.4,26,23.3,18.9,15,21.4
Uganda,Kampala,22,22,22,21,20,20,20,20,20,21,21,21,20
Tanzania,Dar es Salaam,27.4,27.7,27.4,26.5,25.5,24.2,23.5,23.7,24.3,25.3,26.3,27.3,25.8
South Africa,Cape Town,20.4,20.4,19.2,16.9,14.4,12.5,11.9,12.4,13.7,15.6,17.9,19.5,16.2
Ethiopia,Mek'ele,19.5,20.5,21.5,22.5,23.5,23.5,20.5,20,21.5,20.5,19.5,18.5,22.7
Australia,Darwin,28.3,28.1,28.3,28.4,27.1,25.3,25,25.9,27.8,29.1,29.3,29,27.6
Australia,Alice Springs,28,27,25,20,15,12,11,14,18,22,25,27,21
Australia,Perth,24.5,24.9,23.1,19.7,16.5,14,13,13.5,14.8,17.3,20.3,22.7,18.7
Australia,Hobart,16.8,16.9,15.6,13.2,10.8,8.6,8.2,9.2,10.8,12.4,14,15.6,12.7
Canada,Edmonton,-10.4,-7.6,-2.5,5.4,11.5,15.5,17.7,16.9,11.4,5.1,-4.1,-8.8,4.2
Canada,Montreal,-9.7,-7.7,-2,6.4,13.4,18.6,21.2,20.1,15.5,8.5,2.1,-5.4,6.8
United States,New York City,1,2,6,12,17,22,25,24,20,14,9,3,13
United States,Los Angeles,14,15,16,17,19,21,23,24,23,20,17,14,19
United States,San Antonio,11,13,17,21,25,28,29,30,27,22,16,12,21
Brazil,Brasilia,21.2,21.3,21.5,20.9,19.6,18.5,18.3,20.3,21.7,21.6,21.1,21,20.6
Brazil,Rio de Janeiro,26.3,26.6,26,24.4,22.8,21.8,21.3,21.8,22.2,22.9,24,25.3,23.8
China,Shanghai,4.6,6.1,9.6,15.1,20.3,24.1,28.4,28.1,24.4,19.3,13.4,7.1,16.7
India,New Delhi,13.8,16.5,22.1,28.7,32.8,34,30.9,29.7,29,26.1,20.5,15.3,25
Singapore,Singapore,27,27,28,28,28,28,28,28,27,27,27,26,27
Japan,Tokyo,5.2,5.7,8.7,13.9,18.2,21.4,25,26.4,22.8,17.5,12.1,7.6,15.4
